7/5/2024,"2,431,240"
7/6/2024,"2,617,154"
7/7/2024,"3,013,622"
7/8/2024,"2,785,721"
7/9/2024,"2,580,105"
7/10/2024,"2,627,735"
7/11/2024,"2,839,251"
7/12/2024,"2,829,067"
7/13/2024,"2,583,704"
7/14/2024,"2,937,845"
7/15/2024,"2,860,799"
7/16/2024,"2,536,991"
7/17/2024,"2,641,325"
7/18/2024,"2,957,170"
7/19/2024,"2,716,304"
7/20/2024,"2,606,097"
7/21/2024,"2,909,267"
7/22/2024,"2,864,584"
7/23/2024,"2,603,647"
7/24/2024,"2,718,954"
7/25/2024,"2,924,478"
7/26/2024,"2,877,017"
7/27/2024,"2,582,953"
7/28/2024,"2,922,306"
7/29/2024,"2,795,317"
7/30/2024,"2,437,121"
7/31/2024,"2,618,705"
8/1/2024,"2,871,907"
8/2/2024,"2,803,445"
8/3/2024,"2,555,713"
8/4/2024,"2,800,099"
8/5/2024,"2,701,321"
8/6/2024,"2,413,736"
8/7/2024,"2,555,693"
8/8/2024,"2,808,911"
8/9/2024,"2,756,793"
8/10/2024,"2,475,459"
8/11/2024,"2,850,074"
8/12/2024,"2,705,415"
8/13/2024,"2,266,346"
8/14/2024,"2,380,580"
8/15/2024,"2,732,713"
8/16/2024,"2,748,819"
8/17/2024,"2,344,279"
8/18/2024,"2,796,821"
8/19/2024,"2,686,909"
8/20/2024,"2,252,171"
8/21/2024,"2,310,258"
8/22/2024,"2,654,402"
8/23/2024,"2,660,166"
8/24/2024,"2,185,822"
8/25/2024,"2,702,492"
8/26/2024,"2,463,227"
8/27/2024,"1,980,342"
8/28/2024,"2,221,120"
8/29/2024,"2,746,266"
8/30/2024,"2,913,547"
8/31/2024,"2,163,592"
9/1/2024,"2,219,496"
9/2/2024,"2,748,226"
9/3/2024,"2,272,637"
9/4/2024,"1,965,339"
9/5/2024,"2,277,401"
9/6/2024,"2,404,754"
9/7/2024,"1,944,006"
9/8/2024,"2,635,080"
9/9/2024,"2,447,809"
9/10/2024,"1,947,530"
9/11/2024,"1,999,757"
9/12/2024,"2,630,964"
9/13/2024,"2,629,323"
9/14/2024,"2,039,797"
9/15/2024,"2,751,418"
9/16/2024,"2,568,141"
9/17/2024,"2,047,363"
9/18/2024,"2,204,592"
9/19/2024,"2,720,369"
9/20/2024,"2,746,884"
9/21/2024,"2,113,564"
9/22/2024,"2,834,755"
9/23/2024,"2,624,958"
9/24/2024,"2,063,662"
9/25/2024,"2,245,707"
9/26/2024,"2,550,227"
9/27/2024,"2,584,954"
9/28/2024,"2,090,971"
9/29/2024,"2,744,939"
9/30/2024,"2,544,480"
10/1/2024,"1,999,352"
10/2/2024,"2,151,683"
10/3/2024,"2,640,399"
10/4/2024,"2,668,729"
10/5/2024,"2,107,910"
10/6/2024,"2,830,443"
10/7/2024,"2,650,717"
10/8/2024,"2,092,902"
10/9/2024,"2,104,384"
10/10/2024,"2,515,514"
10/11/2024,"2,840,414"
10/12/2024,"2,245,955"
10/13/2024,"2,759,322"
10/14/2024,"2,753,893"
10/15/2024,"2,331,229"
10/16/2024,"2,380,635"
10/17/2024,"2,790,733"
10/18/2024,"2,810,221"
10/19/2024,"2,244,829"
10/20/2024,"2,934,025"
10/21/2024,"2,756,016"
10/22/2024,"2,162,389"
10/23/2024,"2,283,293"
10/24/2024,"2,734,510"
10/25/2024,"2,757,296"
10/26/2024,"2,138,621"
10/27/2024,"2,797,199"
10/28/2024,"2,571,459"
10/29/2024,"1,956,344"
10/30/2024,"2,160,195"
10/31/2024,"2,161,429"
11/1/2024,"2,565,724"
11/2/2024,"1,997,801"
11/3/2024,"2,646,807"
11/4/2024,"2,403,233"
11/5/2024,"1,910,059"
11/6/2024,"2,106,444"
11/7/2024,"2,597,660"
11/8/2024,"2,662,635"
11/9/2024,"2,112,678"
11/10/2024,"2,660,472"
11/11/2024,"2,697,567"
11/12/2024,"2,085,620"
