7/6/2025,"3,041,954",
7/7/2025,"2,917,942",
7/8/2025,"2,488,332",
7/9/2025,"2,554,687",
7/10/2025,"2,873,682",
7/11/2025,"2,885,953",
7/12/2025,"2,589,889",
7/13/2025,"3,007,773",
7/14/2025,"2,865,292",
7/15/2025,"2,557,900",
7/16/2025,"2,614,183",
7/17/2025,"2,998,225",
7/18/2025,"2,962,082",
7/19/2025,"2,603,307",
7/20/2025,"3,043,973",
7/21/2025,"2,886,647",
7/22/2025,"2,452,271",
7/23/2025,"2,630,151",
7/24/2025,"2,968,866",
7/25/2025,"2,970,569",
7/26/2025,"2,670,276",
7/27/2025,"3,017,861",
7/28/2025,"2,929,749",
7/29/2025,"2,438,933",
7/30/2025,"2,574,917",
7/31/2025,"2,882,829",
8/1/2025,"2,999,166",
8/2/2025,"2,640,741",
8/3/2025,"2,983,755",
8/4/2025,"2,855,684",
8/5/2025,"2,364,019",
8/6/2025,"2,447,464",
8/7/2025,"2,893,814",
8/8/2025,"2,854,458",
8/9/2025,"2,462,226",
8/10/2025,"2,960,755",
8/11/2025,"2,763,999",
8/12/2025,"2,256,579",
8/13/2025,"2,331,562",
8/14/2025,"2,835,968",
8/15/2025,"2,796,277",
8/16/2025,"2,360,294",
8/17/2025,"2,907,660",
8/18/2025,"2,705,168",
8/19/2025,"2,187,411",
8/20/2025,"2,294,086",
8/21/2025,"2,731,931",
8/22/2025,"2,667,258",
8/23/2025,"2,185,460",
8/24/2025,"2,786,648",
8/25/2025,"2,506,611",
8/26/2025,"1,950,994",
8/27/2025,"2,229,905",
8/28/2025,"2,833,316",
8/29/2025,"2,971,455",
8/30/2025,"2,223,191",
8/31/2025,"2,343,216",
9/1/2025,"2,836,013",
9/2/2025,"2,276,201",
9/3/2025,"1,965,954",
9/4/2025,"2,305,882",
9/5/2025,"2,427,350",
9/6/2025,"1,923,040",
9/7/2025,"2,673,762",
9/8/2025,"2,456,693",
9/9/2025,"1,896,803",
9/10/2025,"2,107,833",
9/11/2025,"2,610,925",
9/12/2025,"2,669,713",
9/13/2025,"2,020,113",
9/14/2025,"2,810,804",
9/15/2025,"2,590,221",
9/16/2025,"2,004,769",
9/17/2025,"2,219,220",
9/18/2025,"2,788,191",
9/19/2025,"2,788,902",
9/20/2025,"2,140,805",
9/21/2025,"2,848,945",
9/22/2025,"2,598,440",
9/23/2025,"1,975,026",
9/24/2025,"2,165,846",
9/25/2025,"2,739,357",
9/26/2025,"2,741,844",
9/27/2025,"2,083,134",
9/28/2025,"2,843,311",
9/29/2025,"2,577,248",
9/30/2025,"2,005,123",
10/1/2025,"2,199,312",
10/2/2025,"2,673,111",
10/3/2025,"2,697,756",
10/4/2025,"2,091,602",
10/5/2025,"2,901,606",
10/6/2025,"2,686,873",
10/7/2025,"2,104,449",
10/8/2025,"2,417,075",
10/9/2025,"2,975,982",
10/10/2025,"3,017,612",
10/11/2025,"2,381,106",
10/12/2025,"2,951,273",
10/13/2025,"2,874,884",
10/14/2025,"2,413,133",
10/15/2025,"2,438,918",
10/16/2025,"2,901,650",
10/17/2025,"2,878,950",
10/18/2025,"2,268,485",
10/19/2025,"2,988,255",
10/20/2025,"2,794,820",
10/21/2025,"2,141,971",
10/22/2025,"2,278,249",
10/23/2025,"2,780,271",
10/24/2025,"2,773,635",
10/25/2025,"2,126,979",
10/26/2025,"2,859,222",
10/27/2025,"2,636,402",
10/28/2025,"1,945,466",
10/29/2025,"2,087,383",
10/30/2025,"2,532,054",
10/31/2025,"2,280,607",
11/1/2025,"2,029,708",
11/2/2025,"2,678,442",
11/3/2025,"2,492,532",
11/4/2025,"2,015,706",
11/5/2025,"2,162,311",
11/6/2025,"2,704,209",
11/7/2025,"2,645,578",
11/8/2025,"2,080,116",
11/9/2025,"2,631,788",
11/10/2025,"2,488,335",
11/11/2025,"2,054,768",
11/12/2025,"1,996,069",
11/13/2025,"2,434,496",
11/14/2025,"2,456,308",
11/15/2025,"1,902,157",
11/16/2025,"2,604,321",
11/17/2025,"2,349,327",
11/18/2025,"1,816,617",
11/19/2025,"2,073,637",
11/20/2025,"2,493,511",
11/21/2025,"2,792,495",
11/22/2025,"2,482,593",
11/23/2025,"2,617,142",
11/24/2025,"2,563,877",
11/25/2025,"2,675,261",
11/26/2025,"2,753,036",
11/27/2025,"1,559,165",
11/28/2025,"2,392,036",
11/29/2025,"2,696,816",
11/30/2025,"3,134,613",
12/1/2025,"2,893,451",
12/2/2025,"2,233,828",
12/3/2025,"2,125,688",
12/4/2025,"2,437,542",
12/5/2025,"2,456,311",
12/6/2025,"1,987,785",
12/7/2025,"2,597,892",
12/8/2025,"2,470,751",
12/9/2025,"1,977,202",
12/10/2025,"2,160,994",
12/11/2025,"2,584,914",
12/12/2025,"2,651,654",
12/13/2025,"2,157,148",
12/14/2025,"2,586,427",
12/15/2025,"2,503,757",
12/16/2025,"2,047,653",
12/17/2025,"2,271,960",
12/18/2025,"2,637,016",
12/19/2025,"2,824,905",
12/20/2025,"2,748,731",
12/21/2025,"2,769,228",
12/22/2025,"2,795,090",
12/23/2025,"2,822,653",
12/24/2025,"2,236,205",
12/25/2025,"2,066,118",
12/26/2025,"2,716,278",
12/27/2025,"2,804,814",
12/28/2025,"2,924,593",
12/29/2025,"2,811,757",
12/30/2025,"2,827,572",
12/31/2025,"2,291,360",
